ids 1999xx/200000-200010/7000-7005:
200000 14 1 '三叶草' price  spend  own_num ''
200001 14 2 '兑奖券' price  spend  own_num ''
200002 14 3 '罗盘' price  spend  own_num ''
200000 14 1 '三叶草' price  spend  own_num ''
200001 14 2 '兑奖券' price  spend  own_num ''
200002 14 3 '罗盘' price  spend  own_num ''
7000 7  '手工品制作工具' price 0 spend 0 own_num 1
7001 7  '友情绘本' price 0 spend 0 own_num 1
3009 3  '麻糬' price 0 spend 1 own_num ''
3010 3  '松子' price 0 spend 1 own_num ''

all RESOURCE(14) items:
  200000 1 '三叶草'
  200001 2 '兑奖券'
  200002 3 '罗盘'
  200003 4 '浇水'
  200004 5 '换货'
  200005 7 '扭蛋币'
  200006 9 '奶油'
  200007 10 '翻糖'
  200008 6 '新春贴纸袋'
  200009 6 '新春宝箱·小'
  200010 6 '新春宝箱·大'
  200011 6 '宝箱的祝福'
  200012 6 '周边·明信片'
  200013 6 '周边·口罩'
  200014 6 '周边·青蛙公仔'
  200015 6 '广告替代品'
  200016 6 '许愿池开启'
  201001 6 '书桌·古琴'
  201002 6 '衣柜·古琴'
  201003 6 '森之国度·小鱼干'
  201004 6 '森之国度·小鱼冻'
  201005 6 '帘幕·许愿池'
  201006 6 '地毯·许愿池'
  201007 6 '墙壁·许愿池'
  201008 6 '森之国度·猫猫帽'
  202101 6 '蜡梅'
  202102 6 '木槿'
  202103 6 '狗尾草'
  202104 6 '知风草'
  202105 6 '蓼'
  202106 6 '蒲公英'
  202107 6 '兔尾草'
  202108 6 '桂花'
  202109 6 '丁香'
  202110 6 '建兰'
  202111 6 '水仙'
  202211 6 '角堇·火龙果'
  202212 6 '角堇·柠檬黄唇'
  202213 6 '角堇·彩蝶'
  202221 6 '葡风·日出'
  202222 6 '葡风·白色魔术'
  202223 6 '葡风·黑眼睛'
  202231 6 '风信子·白珍珠'
  202232 6 '风信子·吉普赛女王'
  202233 6 '风信子·蓝星'
  202241 6 '网脉鸢尾·冰冻星球'
  202242 6 '网脉鸢尾·艾丽达'
  202243 6 '网脉鸢尾·狂想曲'
  202244 6 '网脉鸢尾·迪特'
  202251 6 '郁金香·皇家红'
  202252 6 '郁金香·命运女神'
  202253 6 '郁金香·黄金岁月'
  202254 6 '郁金香·夜皇后'
  202261 6 '铃兰·原生白'
  202262 6 '铃兰·粉天使'
  202263 6 '铃兰·蒙大拿'
  203001 8 '蛙选之人·1天'
  203002 8 '蛙选之人·7天'
  203003 8 '蛙选之人·15天'
  203004 8 '蛙选之人·30天'
  203005 8 '蛙选之人·90天'
  203006 8 '蛙选之人·180天'
  203007 8 '蛙选之人·365天'
  203011 8 '明星小蛙·1天'
  203012 8 '明星小蛙·7天'
  203013 8 '明星小蛙·15天'
  203014 8 '明星小蛙·30天'
  203015 8 '明星小蛙·90天'
  203016 8 '明星小蛙·180天'
  203017 8 '明星小蛙·365天'
  203021 8 '蛙界艺术家·1天'
  203022 8 '蛙界艺术家·7天'
  203023 8 '蛙界艺术家·15天'
  203024 8 '蛙界艺术家·30天'
  203025 8 '蛙界艺术家·90天'
  203026 8 '蛙界艺术家·180天'
  203027 8 '蛙界艺术家·365天'
  204001 11 '周年庆·家具礼袋'
  204002 11 '许愿池·家具礼袋'
  205001 6 '点击特效·青蛙'
  205002 6 '点击特效·壁虎'
  205003 6 '点击特效·刺猬'
  205004 6 '点击特效·萤火虫'
