id | itemId | item.type/sub | name | price | limit | order | is_hide_before | before_buy | is_sold_out_hide
 0 |     0 | 0/ | 奶油华夫饼 |    10 | 0 | 0 | 0 | [] | 0
 1 |     1 | 0/ | 草莓可丽饼 |    30 | 0 | 1 | 0 | [] | 0
 2 |     2 | 0/ | 沙拉皮塔饼 |    50 | 0 | 2 | 0 | [] | 0
 3 |     3 | 0/ | 茄汁蛋包饭 |    80 | 0 | 3 | 0 | [] | 0
 4 |    19 | 0/ | 饺子 |    90 | 0 | 4 | 0 | [] | 0
 5 |     4 | 0/ | 香葱烤包子 |   100 | 0 | 5 | 0 | [] | 0
 6 |     5 | 0/ | 海苔煎豆腐 |   100 | 0 | 6 | 0 | [] | 0
 7 |    15 | 0/ | 桂花蒸米糕 |   100 | 0 | 7 | 0 | [] | 0
 8 |    16 | 0/ | 彩椒烙蛋饼 |   100 | 0 | 8 | 0 | [] | 0
 9 |  1001 | 1/ | 玉佩 |  3000 | 1 | 10 | 0 | [] | 0
10 |  2009 | 2/ | 围巾~纯色~ |   150 | 1 | 11 | 0 | [] | 0
11 |  2010 | 2/ | 围巾~雪花~ |   250 | 1 | 12 | 0 | [] | 0
12 |  2011 | 2/ | 围巾~云纹~ |   400 | 1 | 13 | 0 | [] | 0
13 |  2000 | 2/ | 竹筒 |   300 | 1 | 14 | 0 | [] | 0
14 |  2001 | 2/ | 葫芦 |   450 | 1 | 15 | 0 | [] | 0
15 |  2002 | 2/ | 水壶 |   750 | 1 | 16 | 0 | [] | 0
16 |  2003 | 2/ | 朴素纸伞 |   450 | 1 | 17 | 0 | [] | 0
17 |  2004 | 2/ | 自然纸伞 |   700 | 1 | 18 | 0 | [] | 0
18 |  2005 | 2/ | 水墨纸伞 |  1200 | 1 | 19 | 0 | [] | 0
19 |  2006 | 2/ | 简易睡垫 |   600 | 1 | 20 | 0 | [] | 0
20 |  2007 | 2/ | 时尚睡垫 |   900 | 1 | 21 | 0 | [] | 0
21 |  2008 | 2/ | 高级睡垫 |  1500 | 1 | 22 | 0 | [] | 0
22 |  9000 | 9/ | 相册扩容·1 |  1000 | 1 | 23 | 0 | [] | 1
23 |  9000 | 9/ | 相册扩容·2 |  1250 | 1 | 24 | 1 | ['shop', '22'] | 1
24 |  9000 | 9/ | 相册扩容·3 |  1500 | 1 | 25 | 1 | ['shop', '23'] | 1
25 |  9000 | 9/ | 相册扩容·4 |  2000 | 1 | 26 | 1 | ['shop', '24'] | 1
26 |  9000 | 9/ | 相册扩容·5 |  3000 | 1 | 27 | 1 | ['shop', '25'] | 1
27 |  7000 | 7/ | 手工品制作工具 |  2000 | 1 | 100 | 0 | [] | 0
28 |  8000 | 8/1 | 手工品材料 |   150 | 0 | 101 | 1 | ['shop', '27'] | 0
29 |  9000 | 9/ | 相册扩容·6 |  2000 | 1 | 28 | 1 | ['shop', '26'] | 1
30 |  9000 | 9/ | 相册扩容·7 |  1500 | 1 | 29 | 1 | ['shop', '29'] | 1
31 |  9000 | 9/ | 相册扩容·8 |  1250 | 1 | 30 | 1 | ['shop', '30'] | 1
32 |  9000 | 9/ | 相册扩容·9 |  1000 | 1 | 31 | 1 | ['shop', '31'] | 1
33 |  9000 | 9/ | 相册扩容·10 |  1250 | 1 | 32 | 1 | ['shop', '32'] | 1
34 |    33 | 0/ | 水果沙拉 |   100 | 0 | 9 | 0 | [] | 0
35 |  7001 | 7/ | 友情绘本 |  1000 | 1 | 102 | 0 | [] | 0
36 |  9000 | 9/ | 相册扩容·11 |  1500 | 1 | 33 | 1 | ['shop', '33'] | 1
37 |  9000 | 9/ | 相册扩容·12 |  2000 | 1 | 34 | 1 | ['shop', '36'] | 1
38 |  9000 | 9/ | 相册扩容·13 |  3000 | 1 | 35 | 1 | ['shop', '37'] | 1
39 |  9000 | 9/ | 相册扩容·14 |  2000 | 1 | 36 | 1 | ['shop', '38'] | 1
40 |  9000 | 9/ | 相册扩容·15 |  1500 | 1 | 37 | 1 | ['shop', '39'] | 1
41 |  9000 | 9/ | 相册扩容·16 |  1250 | 1 | 38 | 1 | ['shop', '40'] | 1
42 |  9000 | 9/ | 相册扩容·17 |  1000 | 1 | 39 | 1 | ['shop', '41'] | 1
43 |  9000 | 9/ | 相册扩容·18 |  1250 | 1 | 40 | 1 | ['shop', '42'] | 1
44 |  9000 | 9/ | 相册扩容·19 |  1500 | 1 | 41 | 1 | ['shop', '43'] | 1
45 |  9000 | 9/ | 相册扩容·20 |  2000 | 1 | 42 | 1 | ['shop', '44'] | 1
46 |  9000 | 9/ | 相册扩容·21 |  3000 | 1 | 43 | 1 | ['shop', '45'] | 1
47 |  9000 | 9/ | 相册扩容·22 |  2000 | 1 | 44 | 1 | ['shop', '46'] | 1
48 |  9000 | 9/ | 相册扩容·23 |  1500 | 1 | 45 | 1 | ['shop', '47'] | 1
49 |  9000 | 9/ | 相册扩容·24 |  1250 | 1 | 46 | 1 | ['shop', '48'] | 1
50 |  9000 | 9/ | 相册扩容·25 |  1000 | 1 | 47 | 1 | ['shop', '49'] | 1
51 |  9000 | 9/ | 相册扩容·26 |  1250 | 1 | 48 | 1 | ['shop', '50'] | 1
52 |  9000 | 9/ | 相册扩容·27 |  1500 | 1 | 49 | 1 | ['shop', '51'] | 1
53 |  9000 | 9/ | 相册扩容·28 |  2000 | 1 | 50 | 1 | ['shop', '52'] | 1
